Team name,Submission Time,Preference Estimation,Review Generation,Score@SIM,Score@REAL,Overall Score
SDU-AI,2025-02-04(10AM)(3),0.8297,0.8148,0.8815,0.7827,0.8222
WiseAgents,2025-02-04(10AM)(2),0.8382,0.8223,0.8849,0.7938,0.8303
DummyAgent,2025-02-04(10AM)(3),0.7910,0.7527,0.8471,0.7217,0.7718
JiuWen,2025-02-04(10AM)(1),0.8472,0.8182,0.9034,0.7855,0.8327
WiseAgents,2025-02-04(10AM)(3),0.8090,0.7949,0.8404,0.7763,0.8019
JiuWen,2025-02-04(10AM)(2),0.8475,0.8177,0.9049,0.7844,0.8326
DummyAgent,2025-02-04(10AM)(1),0.7877,0.7557,0.8482,0.7207,0.7717
DummyAgent,2025-02-04(10AM)(2),0.7897,0.7213,0.8186,0.7134,0.7555
Santiago,2025-02-04(10AM)(2),0.8253,0.8064,0.8750,0.7764,0.8158
WiseAgents,2025-02-04(10AM)(1),0.8428,0.8243,0.8948,0.7928,0.8336
伸腿瞪眼丸,2025-02-04(10AM)(1),0.8505,0.8261,0.8974,0.7989,0.8383
伸腿瞪眼丸,2025-02-04(10AM)(3),0.8532,0.8271,0.8943,0.8040,0.8401
SDU-AI,2025-02-04(10AM)(2),0.8353,0.8187,0.8850,0.7884,0.8270
伸腿瞪眼丸,2025-02-04(10AM)(2),0.8472,0.8222,0.8953,0.7943,0.8347
JiuWen,2025-02-05(10AM)(3),0.8470,0.8207,0.9006,0.7893,0.8338
WiseAgents,2025-02-05(10AM)(2),0.8387,0.8235,0.8862,0.7943,0.8311
JiuWen,2025-02-05(10AM)(1),0.8467,0.8194,0.8985,0.7894,0.8330
WiseAgents,2025-02-05(10AM)(3),0.8200,0.7967,0.8406,0.7869,0.8084
Agent42,2025-02-05(10AM)(2),0.8000,0.8075,0.8840,0.7502,0.8037
JiuWen,2025-02-05(10AM)(2),0.8418,0.8192,0.9004,0.7839,0.8305
ASC,2025-02-05(10AM)(1),0.8497,0.8271,0.9002,0.7972,0.8384
SDU-AI,2025-02-05(10AM)(1),0.8350,0.8158,0.8774,0.7907,0.8254
WiseAgents,2025-02-05(10AM)(1),0.8432,0.8231,0.8935,0.7929,0.8331
ASC,2025-02-05(10AM)(2),0.8503,0.8255,0.9030,0.7945,0.8379
AwesomeAgent,2025-02-05(10AM)(2),0.8407,0.8147,0.9003,0.7793,0.8277
AwesomeAgent,2025-02-05(10AM)(1),0.8383,0.8144,0.8934,0.7817,0.8263
AwesomeAgent,2025-02-05(10AM)(3),0.8400,0.8139,0.8995,0.7786,0.8270
SDU-AI,2025-02-05(10AM)(2),0.8370,0.8139,0.8779,0.7905,0.8255
FollowSen,2025-02-06(10AM)(1),0.8390,0.8174,0.9003,0.7802,0.8282
FollowSen,2025-02-06(10AM)(2),0.8503,0.8172,0.9043,0.7868,0.8338
WiseAgents,2025-02-06(10AM)(2),0.8402,0.8222,0.8878,0.7934,0.8312
伸腿瞪眼丸,2025-02-06(10AM)(2),0.8275,0.8180,0.8709,0.7906,0.8228
ustc-agent,2025-02-06(10AM)(3),0.6788,0.7449,0.7394,0.6935,0.7119
ASC,2025-02-06(10AM)(1),0.2463,0.6194,0.4543,0.4186,0.4329
CRUISE,2025-02-06(10AM)(1),0.4843,0.6942,0.5982,0.5833,0.5893
伸腿瞪眼丸,2025-02-06(10AM)(3),0.8180,0.8182,0.8700,0.7835,0.8181
JiuWen,2025-02-06(10AM)(1),0.8347,0.8165,0.8996,0.7762,0.8256
CRUISE,2025-02-06(10AM)(2),0.4857,0.6949,0.5982,0.5850,0.5903
伸腿瞪眼丸,2025-02-06(10AM)(1),0.8543,0.8260,0.9026,0.7985,0.8401
ustc-agent,2025-02-06(10AM)(1),0.6923,0.7487,0.7613,0.6933,0.7205
ASC,2025-02-06(10AM)(2),0.2463,0.6194,0.4543,0.4186,0.4329
WiseAgents,2025-02-06(10AM)(3),0.8145,0.7425,0.8007,0.7637,0.7785
WiseAgents,2025-02-06(10AM)(1),0.8143,0.7449,0.8000,0.7660,0.7796
SDU-AI,2025-02-06(10AM)(3),0.8279,0.7550,0.8256,0.7687,0.7915
JiuWen,2025-02-06(10AM)(2),0.8382,0.8167,0.8955,0.7821,0.8274
ustc-agent,2025-02-06(10AM)(2),0.7048,0.7515,0.7629,0.7050,0.7282
JiuWen,2025-02-06(10AM)(3),0.8448,0.8191,0.9012,0.7858,0.8320
Santiago,2025-02-06(10AM)(2),0.8089,0.8034,0.8447,0.7805,0.8062
Santiago,2025-02-06(10AM)(1),0.8198,0.8010,0.8579,0.7787,0.8104
Santiago,2025-02-06(10AM)(3),0.8239,0.8109,0.8598,0.7891,0.8174
ASC,2025-02-06(10AM)(3),0.2463,0.6194,0.4543,0.4186,0.4329
WiseAgents,2025-02-07(10AM)(2),0.8398,0.8238,0.8954,0.7894,0.8318
JiuWen,2025-02-07(10AM)(2),0.8340,0.8175,0.8886,0.7838,0.8257
何解？和解！,2025-02-07(10AM)(2),0.7560,0.7915,0.8379,0.7310,0.7738
ASC,2025-02-07(10AM)(1),0.8587,0.8259,0.9011,0.8031,0.8423
何解？和解！,2025-02-07(10AM)(3),0.7683,0.7454,0.7886,0.7358,0.7569
FollowSen,2025-02-07(10AM)(3),0.8467,0.8157,0.9042,0.7825,0.8312
WiseAgents,2025-02-07(10AM)(1),0.8385,0.7736,0.8513,0.7759,0.8061
伸腿瞪眼丸,2025-02-07(10AM)(1),0.8507,0.8231,0.8940,0.7988,0.8369
ASC,2025-02-07(10AM)(2),0.8467,0.8277,0.8953,0.7984,0.8372
FollowSen,2025-02-07(10AM)(2),0.8220,0.8048,0.8596,0.7825,0.8134
ustc-agent,2025-02-08(10AM)(3),0.8309,0.8082,0.8657,0.7888,0.8195
WiseAgents,2025-02-08(10AM)(2),0.8448,0.8233,0.8937,0.7943,0.8340
JiuWen,2025-02-08(10AM)(1),0.8442,0.8213,0.8911,0.7939,0.8327
WiseAgents,2025-02-08(10AM)(3),0.8425,0.8231,0.8941,0.7919,0.8328
CRUISE,2025-02-08(10AM)(2),0.2463,0.6194,0.4543,0.4186,0.4329
JiuWen,2025-02-08(10AM)(2),0.8472,0.8195,0.9010,0.7882,0.8333
FollowSen,2025-02-08(10AM)(3),0.8492,0.8184,0.8940,0.7936,0.8338
WiseAgents,2025-02-08(10AM)(1),0.8158,0.7760,0.8399,0.7666,0.7959
CRUISE,2025-02-08(10AM)(1),0.8390,0.8114,0.8796,0.7889,0.8252
伸腿瞪眼丸,2025-02-08(10AM)(1),0.8528,0.8221,0.8889,0.8032,0.8375
FollowSen,2025-02-08(10AM)(1),0.8542,0.8090,0.8839,0.7967,0.8316
FollowSen,2025-02-08(10AM)(2),0.8520,0.8127,0.8978,0.7887,0.8324
何解？和解！,2025-02-09(10AM)(1),0.8433,0.8142,0.8907,0.7875,0.8288
AwesomeAgent,2025-02-09(10AM)(3),0.8347,0.8151,0.8950,0.7781,0.8249
FollowSen,2025-02-09(10AM)(1),0.8443,0.8171,0.8860,0.7939,0.8307
FollowSen,2025-02-09(10AM)(2),0.8563,0.8170,0.8958,0.7972,0.8367
何解？和解！,2025-02-09(10AM)(2),0.8550,0.8088,0.8761,0.8024,0.8319
ustc-agent,2025-02-09(10AM)(3),0.8395,0.8161,0.8809,0.7924,0.8278
何解？和解！,2025-02-09(10AM)(3),0.8480,0.8040,0.8759,0.7927,0.8260
伸腿瞪眼丸,2025-02-09(10AM)(2),0.8455,0.8243,0.8790,0.8055,0.8349
ASC,2025-02-09(10AM)(1),0.6863,0.7504,0.7692,0.6845,0.7184
AwesomeAgent,2025-02-09(10AM)(2),0.8400,0.8123,0.8936,0.7812,0.8262
ustc-agent,2025-02-09(10AM)(1),0.8500,0.8163,0.8978,0.7901,0.8332
WiseAgents,2025-02-09(10AM)(3),0.8488,0.8256,0.8947,0.7989,0.8372
FollowSen,2025-02-09(10AM)(3),0.8497,0.8124,0.8935,0.7894,0.8310
ASC,2025-02-09(10AM)(3),0.2463,0.6194,0.4543,0.4186,0.4329
ustc-agent,2025-02-10(10AM)(1),0.8312,0.8125,0.8773,0.7849,0.8218
ustc-agent,2025-02-10(10AM)(2),0.8338,0.8131,0.8821,0.7843,0.8235
CRUISE,2025-02-10(10AM)(2),0.8460,0.8131,0.8818,0.7947,0.8295
何解？和解！,2025-02-10(10AM)(1),0.7157,0.7532,0.7631,0.7153,0.7344
何解？和解！,2025-02-10(10AM)(2),0.7173,0.7542,0.7648,0.7164,0.7358
ASC,2025-02-10(10AM)(1),0.6837,0.7439,0.7562,0.6855,0.7138
SDU-AI,2025-02-10(10AM)(1),0.8393,0.8170,0.8848,0.7904,0.8282
何解？和解！,2025-02-10(10AM)(3),0.8487,0.8109,0.8785,0.7973,0.8298
FollowSen,2025-02-10(10AM)(3),0.8458,0.8136,0.9032,0.7807,0.8297
WiseAgents,2025-02-10(10AM)(1),0.8393,0.8199,0.8914,0.7884,0.8296
CRUISE,2025-02-10(10AM)(1),0.8488,0.8097,0.8725,0.8004,0.8293
ASC,2025-02-10(10AM)(2),0.2463,0.6194,0.4543,0.4186,0.4329
AwesomeAgent,2025-02-10(10AM)(2),0.8517,0.8088,0.8930,0.7884,0.8302
AwesomeAgent,2025-02-10(10AM)(1),0.8523,0.8096,0.8913,0.7907,0.8310
伸腿瞪眼丸,2025-02-10(10AM)(3),0.8452,0.8250,0.8913,0.7976,0.8351
FollowSen,2025-02-10(10AM)(2),0.8445,0.8193,0.8889,0.7939,0.8319
Santiago,2025-02-10(10AM)(3),0.8383,0.8039,0.8483,0.8030,0.8211
CRUISE,2025-02-10(10AM)(3),0.8457,0.8082,0.8758,0.7944,0.8269
伸腿瞪眼丸,2025-02-10(10AM)(2),0.8467,0.8231,0.8891,0.7988,0.8349
ustc-agent,2025-02-11(10AM)(1),0.8215,0.8101,0.8694,0.7800,0.8158
WiseAgents,2025-02-11(10AM)(2),0.8223,0.7675,0.8397,0.7651,0.7949
JiuWen,2025-02-11(10AM)(1),0.8540,0.8173,0.8938,0.7969,0.8357
WiseAgents,2025-02-11(10AM)(3),0.8133,0.7666,0.8323,0.7617,0.7900
JiuWen,2025-02-11(10AM)(2),0.8393,0.8185,0.8949,0.7849,0.8289
锐欣咖啡,2025-02-11(10AM)(1),0.8224,0.8091,0.8522,0.7915,0.8158
ASC,2025-02-11(10AM)(1),0.8403,0.8148,0.8715,0.7983,0.8276
锐欣咖啡,2025-02-11(10AM)(2),0.8347,0.8097,0.8673,0.7921,0.8222
FollowSen,2025-02-11(10AM)(3),0.8397,0.8048,0.8806,0.7833,0.8222
WiseAgents,2025-02-11(10AM)(1),0.8007,0.7626,0.8397,0.7429,0.7816
伸腿瞪眼丸,2025-02-11(10AM)(2),0.8485,0.8274,0.8958,0.7994,0.8380
Santiago,2025-02-11(10AM)(1),0.8084,0.7449,0.8097,0.7546,0.7766
JiuWen,2025-02-12(10AM)(3),0.8492,0.8151,0.8998,0.7870,0.8321
ustc-agent,2025-02-12(10AM)(3),0.7995,0.8046,0.8530,0.7681,0.8020
ustc-agent,2025-02-12(10AM)(1),0.8318,0.8156,0.8683,0.7940,0.8237
ustc-agent,2025-02-12(10AM)(2),0.8195,0.8124,0.8629,0.7847,0.8160
WiseAgents,2025-02-12(10AM)(2),0.8393,0.8219,0.8830,0.7957,0.8306
WiseAgents,2025-02-12(10AM)(3),0.8427,0.8245,0.8906,0.7955,0.8336
SDU-AI,2025-02-12(10AM)(1),0.8090,0.8069,0.8674,0.7683,0.8079
WiseAgents,2025-02-12(10AM)(1),0.8427,0.8228,0.8905,0.7943,0.8328
SDU-AI,2025-02-12(10AM)(2),0.8240,0.8148,0.8792,0.7795,0.8194
ASC,2025-02-12(10AM)(3),0.8520,0.8230,0.8947,0.7993,0.8375
JiuWen,2025-02-12(10AM)(1),0.8613,0.8207,0.9009,0.8010,0.8410
CRUISE,2025-02-12(10AM)(2),0.8467,0.8092,0.8794,0.7936,0.8279
JiuWen,2025-02-12(10AM)(2),0.8508,0.8189,0.8987,0.7924,0.8349
何解？和解！,2025-02-12(10AM)(1),0.8567,0.8199,0.9087,0.7914,0.8383
何解？和解！,2025-02-12(10AM)(2),0.8573,0.8201,0.9017,0.7967,0.8387
FollowSen,2025-02-12(10AM)(3),0.8217,0.7932,0.8738,0.7632,0.8074
CRUISE,2025-02-12(10AM)(1),0.8433,0.8102,0.8789,0.7920,0.8268
伸腿瞪眼丸,2025-02-12(10AM)(1),0.8518,0.8265,0.8963,0.8011,0.8391
ASC,2025-02-12(10AM)(2),0.8487,0.8232,0.8911,0.7992,0.8359
FollowSen,2025-02-12(10AM)(1),0.8227,0.7960,0.8709,0.7683,0.8094
伸腿瞪眼丸,2025-02-12(10AM)(3),0.8438,0.8247,0.8920,0.7958,0.8343
FollowSen,2025-02-12(10AM)(2),0.8560,0.8080,0.8751,0.8033,0.8320
伸腿瞪眼丸,2025-02-12(10AM)(2),0.8383,0.8186,0.8765,0.7964,0.8284
SDU-AI,2025-02-13(10AM)(3),0.8213,0.8077,0.8701,0.7774,0.8145
ustc-agent,2025-02-13(10AM)(3),0.8487,0.8094,0.9015,0.7808,0.8290
ASC,2025-02-13(10AM)(3),0.8592,0.8241,0.9031,0.8006,0.8416
ustc-agent,2025-02-13(10AM)(1),0.8383,0.8126,0.8825,0.7875,0.8255
ustc-agent,2025-02-13(10AM)(2),0.8332,0.8132,0.8702,0.7919,0.8232
WiseAgents,2025-02-13(10AM)(2),0.8495,0.8249,0.8960,0.7980,0.8372
WiseAgents,2025-02-13(10AM)(3),0.8505,0.8251,0.8971,0.7982,0.8378
何解？和解！,2025-02-13(10AM)(1),0.8543,0.8145,0.8972,0.7925,0.8344
锐欣咖啡,2025-02-13(10AM)(1),0.8227,0.8082,0.8535,0.7901,0.8155
何解？和解！,2025-02-13(10AM)(2),0.8557,0.8174,0.9016,0.7931,0.8365
ASC,2025-02-13(10AM)(1),0.8350,0.8213,0.8828,0.7917,0.8282
何解？和解！,2025-02-13(10AM)(3),0.8590,0.8083,0.8752,0.8060,0.8337
FollowSen,2025-02-13(10AM)(3),0.8505,0.8156,0.9004,0.7881,0.8330
WiseAgents,2025-02-13(10AM)(1),0.8488,0.8237,0.8933,0.7983,0.8363
伸腿瞪眼丸,2025-02-13(10AM)(1),0.8530,0.8078,0.8599,0.8107,0.8304
ASC,2025-02-13(10AM)(2),0.8460,0.8188,0.8781,0.8019,0.8324
FollowSen,2025-02-13(10AM)(1),0.8462,0.8019,0.8740,0.7907,0.8240
伸腿瞪眼丸,2025-02-13(10AM)(3),0.8497,0.8032,0.8654,0.8005,0.8264
FollowSen,2025-02-13(10AM)(2),0.8522,0.8067,0.8793,0.7962,0.8294
SDU-AI,2025-02-13(10AM)(2),0.8083,0.8074,0.8629,0.7712,0.8079
伸腿瞪眼丸,2025-02-13(10AM)(2),0.8493,0.8240,0.8943,0.7983,0.8367
何解？和解！,2025-02-13(8PM)(1),0.8602,0.8124,0.8975,0.7859,0.8363
何解？和解！,2025-02-13(8PM)(2),0.8532,0.8091,0.8933,0.7950,0.8312
